日期,代码,名称,涨跌幅%,"主力净流入(亿,新浪口径)","特大单净(亿,新浪口径)","10:30主力净(亿,分笔重构)","10:30特大单净(亿,分笔重构)","全天主力净(亿,分笔重构)","全天特大单净(亿,分笔重构)",所属板块(通达信),板块涨跌%
2026-06-25,001309,德明利,10.0,47.75,44.21,7.1,7.15,2.03,4.61,半导体,4.12
2026-06-26,001309,德明利,6.73,9.7,9.15,2.83,2.78,13.77,13.18,半导体,-0.66
2026-06-29,001309,德明利,2.0,-4.96,-5.54,-5.3,-5.28,-0.98,-1.81,半导体,4.42
2026-06-30,001309,德明利,-2.79,-6.98,-6.68,-7.93,-7.78,-6.67,-6.39,半导体,3.97
2026-07-01,001309,德明利,-5.27,-2.3,-1.77,3.28,3.45,-4.72,-4.08,半导体,-1.86
2026-07-02,001309,德明利,-9.2,10.63,10.95,3.11,3.3,1.88,2.46,半导体,-7.71
2026-07-03,001309,德明利,8.74,45.53,44.04,6.03,5.92,2.88,4.76,半导体,-1.53
2026-07-06,001309,德明利,6.02,5.32,4.17,6.26,6.18,18.76,17.42,半导体,0.49
2026-07-07,001309,德明利,-8.98,-18.41,-18.42,-1.94,-2.02,-12.8,-12.95,半导体,0.29
2026-07-08,001309,德明利,-3.06,-0.51,-0.23,-4.23,-4.4,-5.05,-4.59,半导体,-0.2
2026-07-09,001309,德明利,4.3,-0.98,-1.96,0.41,0.21,5.06,4.14,半导体,8.2
2026-07-10,001309,德明利,-7.03,-6.86,-6.12,1.73,1.71,-7.05,-6.36,半导体,-6.28
2026-07-13,001309,德明利,-10.0,-14.47,-10.86,-3.26,-3.42,5.87,2.92,半导体,-4.64
2026-07-14,001309,德明利,2.23,6.56,6.3,-0.14,-0.01,5.72,5.49,半导体,0.88
2026-07-15,001309,德明利,-10.0,-17.53,-14.28,9.63,8.31,10.71,8.85,半导体,-5.53
2026-07-16,001309,德明利,-10.0,-5.38,-2.61,2.4,1.3,3.07,1.59,半导体,-5.45
2026-07-17,001309,德明利,-10.0,-13.42,-10.88,7.16,6.14,7.99,6.6,半导体,-8.0
2026-06-05,002916,深南电路,-5.18,-1.92,-0.93,1.44,1.58,-1.24,-0.44,元器件,-2.41
2026-06-08,002916,深南电路,-0.9,5.04,4.61,2.07,1.97,5.19,4.47,元器件,-3.85
2026-06-09,002916,深南电路,7.12,7.22,7.53,1.94,2.03,7.83,8.17,元器件,5.33
2026-06-10,002916,深南电路,-3.26,-4.1,-4.18,-3.23,-3.24,-2.29,-2.65,元器件,-3.84
2026-06-11,002916,深南电路,-1.8,-0.21,0.03,1.2,1.07,0.73,0.33,元器件,-0.3
2026-06-12,002916,深南电路,0.89,1.28,3.02,2.93,3.2,0.74,2.29,元器件,-0.49
2026-06-15,002916,深南电路,5.35,4.75,3.91,3.52,3.37,5.88,4.93,元器件,7.63
2026-06-16,002916,深南电路,1.02,-1.4,-1.19,1.65,1.42,0.18,-0.01,元器件,3.26
2026-06-17,002916,深南电路,10.0,25.58,22.36,6.49,7.12,0.76,2.53,元器件,3.85
2026-06-18,002916,深南电路,2.15,-3.91,-5.06,-2.47,-2.68,-0.77,-1.97,元器件,2.27
2026-06-22,002916,深南电路,0.78,2.24,-0.35,-1.63,-1.51,1.24,-1.82,元器件,-0.29
2026-06-23,002916,深南电路,-6.85,-4.12,-5.21,-1.68,-2.21,-1.89,-3.17,元器件,-3.97
2026-06-24,002916,深南电路,1.38,1.96,0.53,-1.19,-1.3,0.29,-1.02,元器件,3.27
2026-06-25,002916,深南电路,5.35,5.69,6.25,2.53,2.62,3.8,4.33,元器件,3.27
2026-06-26,002916,深南电路,-4.73,-4.85,-4.26,-3.31,-2.85,-5.12,-4.31,元器件,-3.11
2026-06-29,002916,深南电路,0.15,1.41,0.68,0.76,0.86,1.7,0.97,元器件,-2.56
2026-06-30,002916,深南电路,5.47,8.84,8.67,4.85,4.97,8.43,8.23,元器件,5.05
2026-07-01,002916,深南电路,-2.16,1.22,1.51,3.19,3.09,0.81,0.84,元器件,-1.81
2026-07-02,002916,深南电路,-5.56,2.29,2.5,0.52,0.04,2.63,2.76,元器件,-5.86
2026-07-03,002916,深南电路,7.42,28.0,25.05,8.96,9.32,0.82,3.36,元器件,1.0
2026-07-06,002916,深南电路,-3.14,-1.73,-2.06,-1.9,-1.93,1.59,0.88,元器件,-3.52
2026-07-07,002916,深南电路,-6.38,-6.67,-6.23,-1.32,-1.63,-3.65,-4.03,元器件,-1.86
2026-07-08,002916,深南电路,-2.37,0.31,0.82,0.26,0.54,-0.05,0.48,元器件,-2.9
2026-07-09,002916,深南电路,10.0,18.85,17.67,0.5,0.63,-1.77,-1.05,元器件,5.43
2026-07-10,002916,深南电路,-3.74,1.28,2.41,4.05,3.89,0.72,1.73,元器件,-3.4
2026-07-13,002916,深南电路,-7.61,-8.61,-7.26,1.15,1.07,-7.16,-5.98,元器件,-7.34
2026-07-14,002916,深南电路,3.91,8.41,7.05,2.35,1.96,9.13,7.56,元器件,4.62
2026-07-15,002916,深南电路,-7.77,-5.25,-5.26,-2.95,-2.96,-5.58,-5.75,元器件,-3.45
